taxon_id	organism	short_name	common_name
632	Yersinia pestis	YERPE	yersinia
2711	Citrus sinensis	CITSI	orange
3055	Chlamydomonas reinhardtii	CHLRE	green algae
3218	Physcomitrella patens	PHYPA	moss
3562	Spinacia oleracea	SPIOL	spinach
3635	Gossypium hirsutum	GOSHI	upland cotton
3641	Theobroma cacao	THECC	cocoa
3659	Cucumis sativus	CUCSA	cucumber
3694	Populus trichocarpa	POPTR	black cottonwood
3702	Arabidopsis thaliana	ARATH	dicot plant
3708	Brassica napus	BRANA	rape
3760	Prunus persica	PRUPE	peach
3847	Glycine max	SOYBN	soybean
3880	Medicago truncatula	MEDTR	barrel medic
3983	Manihot esculenta	MANES	cassava
3988	Ricinus communis	RICCO	castor bean
4072	Capsicum annuum	CAPAN	bell pepper
4081	Solanum lycopersicum	SOLLC	tomato
4097	Nicotiana tabacum	TOBAC	tobacco
4113	Solanum tuberosum	SOLTU	potato
4155	Erythranthe guttata	ERYGU	yellow monkey flower
4232	Helianthus annuus	HELAN	common sunflower
4236	Lactuca sativa	LACSA	garden lettuce
4432	Nelumbo nucifera	NELNU	sacred lotus
4555	Setaria italica	SETIT	millet
4558	Sorghum bicolor	SORBI	sorghum
4565	Triticum aestivum	WHEAT	wheat
4577	Zea mays	MAIZE	corn
5664	Leishmania major	LEIMA	protozoa
5722	Trichomonas vaginalis	TRIVA	protist
5759	Entamoeba histolytica	ENTHI	amoeba
5786	Dictyostelium purpureum	DICPU	slime mold
5888	Paramecium tetraurelia	PARTE	paramecium
6238	Caenorhabditis briggsae	CAEBR	nematode worm
6239	Caenorhabditis elegans	CAEEL	nematode worm
6412	helobdella robusta	HELRO	leech
6669	Daphnia pulex	DAPPU	water_flea
6945	Ixodes scapularis	IXOSC	tick
7070	Tribolium castaneum	TRICA	red flour beetle
7165	Anopheles gambiae	ANOGA	mosquito
7227	Drosophila melanogaster	DROME	fruit fly
7668	Strongylocentrotus purpuratus	STRPU	sea urchin
7719	Ciona intestinalis	CIOIN	sea squirt
7739	Branchiostoma floridae	BRAFL	chordate
7918	lepisosteus oculatus	LEPOC	spotted gar
7955	Danio rerio	DANRE	zebrafish
8090	Oryzias latipes	ORYLA	Japanese rice fish
8364	Xenopus tropicalis	XENTR	frog
9031	Gallus gallus	CHICK	chicken
9258	Ornithorhynchus anatinus	ORNAN	platypus
9544	Macaca mulatta	MACMU	macacque monkey
9595	Gorilla gorilla gorilla	GORGO	gorilla
9598	Pan troglodytes	PANTR	chimpanzee
9606	Homo sapiens	HUMAN	human
9615	Canis lupus familiaris	CANLF	dog
9685	Felis catus	FELCA	cat
9796	Equus caballus	HORSE	horse
9823	Sus scrofa	PIG	pig
9913	Bos taurus	BOVIN	cow
10090	Mus musculus	MOUSE	mouse
10116	Rattus norvegicus	RAT	rat
10228	Trichoplax adhaerens	TRIAD	placozoan
13333	Amborella trichopoda	AMBTC	Amborella
13616	Monodelphis domestica	MONDO	opossum
15368	Brachypodium distachyon	BRADI	purple false brome
28377	Anolis carolinensis	ANOCA	lizard
29655	Zostera marina	ZOSMR	eelgrass
29760	Vitis vinifera	VITVI	grape
35128	Thalassiosira pseudonana	THAPS	diatom
36329	Plasmodium falciparum	PLAF7	apicomplexan
39947	Oryza sativa	ORYSJ	rice
42345	Phoenix dactylifera	PHODC	date palm
44689	Dictyostelium discoideum	DICDI	slime mold
45351	Nematostella vectensis	NEMVE	anemone
51240	Juglans regia	JUGRE	english walnut
51351	Brassica rapa subsp. pekinensis	BRARP	Chinese cabbage
54126	Pristionchus pacificus	PRIPA	nematode worm
64091	Halobacterium salinarum	HALSA	bacteria
69014	Thermococcus kodakaraensis	THEKO	archaea
70448	Ostreococcus tauri	OSTTA	green algee
71139	Eucalyptus grandis	EUCGR	flooded gum
71421	Haemophilus influenzae	HAEIN	influenza
81824	Monosiga brevicollis	MONBE	sponge
83332	Mycobacterium tuberculosis	MYCTU	bacteria
83333	Escherichia coli	ECOLI	E. coli
85962	Helicobacter pylori	HELPY	H.pylori
88036	Selaginella moellendorffii	SELML	spikemoss
93061	Staphylococcus aureus	STAA8	staph
99287	Salmonella typhimurium	SALTY	salmonella
100226	Streptomyces coelicolor	STRCO	bacteria
112509	Hordeum vulgare subsp. vulgare	HORVV	barley
122586	Neisseria meningitidis serogroup b	NEIMB	meningococcus
164328	Phytophthora ramorum	PHYRM	oomycete
169963	Listeria monocytogenes	LISMO	listeria
171101	Streptococcus pneumoniae	STRR6	strep
178306	Pyrobaculum aerophilum	PYRAE	archaea
184922	Giardia intestinalis	GIAIC	protist
185431	Trypanosoma brucei	TRYB2	excavate
188937	Methanosarcina acetivorans	METAC	archaea
189518	Leptospira interrogans	LEPIN	bacteria
190304	Fusobacterium nucleatum	FUSNN	bacteria
190485	Xanthomonas campestris	XANCP	xanthomonas
208964	Pseudomonas aeruginosa	PSEAE	bacteria
211586	Shewanella oneidensis	SHEON	shewanella
214684	Cryptococcus neoformans	CRYNJ	fungi
214687	Musa acuminata subsp. malaccensis	MUSAM	banana
224308	Bacillus subtilis	BACSU	bacteria
224324	Aquifex aeolicus	AQUAE	bacteria
224911	Bradyrhizobium diazoefficiens	BRADU	proteobacteria
226186	Bacteroides thetaiotaomicron	BACTN	bacteria
226900	Bacillus cereus	BACCR	bacillus cereus
227321	Emericella nidulans	EMENI	fungi
227377	Coxiella burnetii	COXBU	coxiella
237561	Candida albicans	CANAL	fungi
237631	Ustilago maydis	USTMA	fungi
243090	Rhodopirellula baltica	RHOBA	bacteria
243230	Deinococcus radiodurans	DEIRA	bacteria
243231	Geobacter sulfurreducens	GEOSL	bacteria
243232	Methanocaldococcus jannaschii	METJA	archaea
243273	mycoplasma genitalium	MYCGE	bacteria
243274	Thermotoga maritima	THEMA	bacteria
243277	Vibrio cholerae	VIBCH	cholera
251221	Gloeobacter violaceus	GLOVI	bacteria
272561	Chlamydia trachomatis	CHLTR	bacteria
273057	Sulfolobus solfataricus	SACS2	archaea
284591	Yarrowia lipolytica	YARLI	fungi
284811	Ashbya gossypii	ASHGO	fungi
284812	Schizosaccharomyces pombe	SCHPO	fission yeast
289376	Thermodesulfovibrio yellowstonii	THEYD	bacteria
321614	Phaeosphaeria nodorum	PHANO	fungi
324602	Chloroflexus aurantiacus	CHLAA	bacteria
330879	Neosartorya fumigata	ASPFU	fungi
367110	Neurospora crassa	NEUCR	fungi
374847	Korarchaeum cryptofilum	KORCO	archaea
418459	Puccinia graminis	PUCGT	fungi
436308	Nitrosopumilus maritimus	NITMS	archaea
441771	Clostridium botulinum	CLOBH	clostridium
515635	Dictyoglomus turgidum	DICTD	bacteria
559292	Saccharomyces cerevisiae	YEAST	Brewer's yeast
665079	Sclerotinia sclerotiorum	SCLS1	fungi
684364	Batrachochytrium dendrobatidis	BATDJ	fungi
1111708	Synechocystis	SYNY3	cyanobacteria
